ID,default
1,1
2,1
3,1
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,1
17,0
18,0
19,1
20,0
21,0
22,1
23,0
24,1
25,1
26,1
27,0
28,0
29,0
30,1
31,1
32,1
33,1
34,0
35,0
36,0
37,1
38,0
39,0
40,1
41,1
42,1
43,1
44,0
45,1
46,1
47,1
48,1
49,1
50,1
51,0
52,1
53,0
54,1
55,1
56,1
57,0
58,0
59,1
60,1
61,0
62,0
63,1
64,1
65,0
66,0
67,1
68,1
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,1
77,0
78,1
79,1
80,0
81,1
82,1
83,0
84,0
85,1
86,0
87,0
88,1
89,1
90,1
91,1
92,0
93,1
94,1
95,0
96,1
97,1
98,1
99,1
100,1
101,1
102,0
103,1
104,1
105,0
106,1
107,1
108,1
109,1
110,1
111,0
112,0
113,0
114,0
115,0
116,1
117,0
118,0
119,0
120,1
121,0
122,0
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,0
132,1
133,1
134,0
135,0
136,1
137,1
138,1
139,0
140,0
141,1
142,1
143,0
144,0
145,1
146,1
147,0
148,1
149,1
150,1
151,0
152,1
153,0
154,1
155,0
156,1
157,1
158,0
159,1
160,0
161,0
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,0
171,1
172,1
173,1
174,0
175,1
176,1
177,1
178,0
179,1
180,0
181,1
182,1
183,0
184,1
185,0
186,1
187,1
188,1
189,0
190,0
191,0
192,0
193,1
194,0
195,1
196,1
197,1
198,0
199,0
200,0
201,0
202,0
203,1
204,0
205,0
206,1
207,1
208,1
209,0
210,1
211,1
212,0
213,0
214,0
215,0
216,0
217,0
218,1
219,1
220,1
221,0
222,1
223,1
224,1
225,0
226,1
227,1
228,0
229,1
230,0
231,0
232,0
233,0
234,1
235,1
236,1
237,1
238,0
239,1
240,1
241,1
242,0
243,1
244,1
245,1
246,1
247,0
248,1
249,0
250,1
251,0
252,1
253,1
254,0
255,0
256,0
257,1
258,0
259,0
260,0
261,0
262,0
263,1
264,0
265,1
266,0
267,1
268,0
269,0
270,1
271,1
272,1
273,0
274,0
275,1
276,1
277,0
278,0
279,1
280,1
281,0
282,1
283,0
284,1
285,0
286,1
287,1
288,1
289,1
290,0
291,0
292,0
293,1
294,0
295,0
296,1
297,0
298,1
299,0
300,0
301,0
302,1
303,1
304,0
305,1
306,0
307,1
308,0
309,0
310,0
311,0
312,0
313,1
314,1
315,0
316,0
317,1
318,0
319,1
320,1
321,0
322,1
323,1
324,0
325,0
326,1
327,1
328,1
329,1
330,1
331,0
332,1
333,1
334,0
335,0
336,0
337,0
338,1
339,1
340,0
341,1
342,1
343,0
344,1
345,0
346,1
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,1
355,1
356,1
357,0
358,1
359,1
360,0
361,0
362,0
363,1
364,1
365,1
366,0
367,1
368,0
369,0
370,0
371,0
372,1
373,1
374,1
375,1
376,0
377,0
378,0
379,1
380,0
381,1
382,1
383,0
384,1
385,0
386,0
387,1
388,1
389,0
390,0
391,1
392,0
393,1
394,1
395,1
396,1
397,0
398,1
399,0
400,0
401,1
402,0
403,1
404,1
405,1
406,1
407,1
408,1
409,0
410,1
411,0
412,0
413,0
414,1
415,1
416,0
417,0
418,1
419,1
420,1
421,0
422,0
423,0
424,1
425,1
426,0
427,0
428,0
429,1
430,1
431,0
432,1
433,1
434,0
435,1
436,1
437,0
438,0
439,0
440,0
441,0
442,1
443,1
444,0
445,0
446,1
447,0
448,0
449,1
450,0
451,0
452,1
453,0
454,0
455,0
456,1
457,1
458,0
459,1
460,0
461,0
462,1
463,1
464,1
465,0
466,0
467,1
468,1
469,1
470,1
471,1
472,0
473,0
474,0
475,1
476,1
477,1
478,0
479,0
480,0
481,0
482,0
483,0
484,1
485,1
486,0
487,1
488,0
489,1
490,1
491,1
492,0
493,1
494,1
495,0
496,1
497,0
498,0
499,0
500,0
501,0
502,0
503,1
504,1
505,0
506,0
507,1
508,1
509,1
510,1
511,1
512,0
513,0
514,0
515,1
516,1
517,0
518,0
519,0
520,1
521,1
522,0
523,0
524,1
525,0
526,1
527,0
528,0
529,0
530,0
531,0
532,1
533,0
534,1
535,0
536,0
537,1
538,0
539,1
540,1
541,0
542,1
543,1
544,1
545,0
546,1
547,0
548,1
549,0
550,0
551,1
552,0
553,0
554,1
555,0
556,0
557,1
558,0
559,1
560,1
561,0
562,1
563,1
564,0
565,0
566,0
567,1
568,1
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,1
578,0
579,0
580,1
581,0
582,1
583,1
584,0
585,0
586,0
587,1
588,0
589,0
590,0
591,1
592,0
593,1
594,0
595,0
596,0
597,0
598,1
599,0
600,1
601,1
602,0
